,0
0,https://www.frontiersin.org/articles/10.3389/fpls.2018.01030/pdf
1,
2,https://hal.archives-ouvertes.fr/hal-02325072/file/Abreu_et_al-2017-Plant%2C_Cell_%26_Environment.pdf
3,https://hal.archives-ouvertes.fr/hal-02325072/file/Abreu_et_al-2017-Plant%2C_Cell_%26_Environment.pdf
4,https://academic.oup.com/jxb/article-pdf/71/22/7257/35330724/eraa390.pdf
5,https://www.frontiersin.org/articles/10.3389/fpls.2016.01088/pdf
6,http://www.plantphysiol.org/content/plantphysiol/168/1/258.full.pdf
7,https://www.frontiersin.org/articles/10.3389/fpls.2019.01780/pdf
8,https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/nph.16642
9,https://hal.archives-ouvertes.fr/hal-02997924/file/Escudero%20et%20al.%2C%202020%20%28ArXiv%20version%29.pdf
10,https://www.frontiersin.org/articles/10.3389/fpls.2018.00990/pdf
11,https://www.biorxiv.org/content/biorxiv/early/2018/02/28/272112.full.pdf
12,https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/pce.13388
13,https://repository.lboro.ac.uk/articles/journal_contribution/Chemical_reactions_induced_by_oscillating_external_fields_in_weak_thermal_environments/9384812/1/files/16997777.pdf
14,http://arxiv.org/pdf/1310.7496
15,https://repository.lboro.ac.uk/articles/journal_contribution/Chaotic_dynamics_in_multidimensional_transition_states/9386165/1/files/16999361.pdf
16,https://repository.lboro.ac.uk/articles/journal_contribution/Persistence_of_transition-state_structure_in_chemical_reactions_driven_by_fields_oscillating_in_time/9388724/1/files/17001971.pdf
17,http://arxiv.org/pdf/1605.02471
18,http://arxiv.org/pdf/1307.1433
19,https://aip.scitation.org/doi/pdf/10.1063/1.4891471
20,https://link.aps.org/accepted/10.1103/PhysRevA.91.023406
21,https://link.aps.org/accepted/10.1103/PhysRevA.95.022713
22,https://repositorio.uam.es/bitstream/10486/663799/1/detailed_garcia_jcp_2012.pdf
23,
24,
25,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.2580
26,
27,https://academic.oup.com/bioinformatics/article-pdf/33/23/3796/25168028/btx462.pdf
28,https://academic.oup.com/bioinformatics/article-pdf/34/14/2425/25138209/bty112.pdf
29,https://academic.oup.com/bioinformatics/article-pdf/34/14/2425/25138209/bty112.pdf
30,https://www.frontiersin.org/articles/10.3389/fmolb.2016.00071/pdf
31,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1004766&type=printable
32,https://www.nature.com/articles/s41467-018-03069-3.pdf
33,
34,
35,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0148098&type=printable
36,
37,https://academic.oup.com/bioinformatics/article-pdf/33/2/283/25142978/btw601.pdf
38,https://academic.oup.com/nar/article-pdf/42/16/10632/14123926/gku741.pdf
39,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0152666&type=printable
40,https://academic.oup.com/nar/article-pdf/42/9/5715/14123190/gku194.pdf
41,
42,
43,
44,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1004776&type=printable
45,https://www.frontiersin.org/articles/10.3389/fmicb.2015.00648/pdf
46,
47,
48,https://riunet.upv.es/bitstream/10251/50669/15/Cembrero%20et%20al.pdf
49,
50,https://riunet.upv.es/bitstream/10251/60356/3/PCS-D-14-00213R1.pdf
51,
52,
53,
54,https://repositorium.sdum.uminho.pt/bitstream/1822/26879/1/Structural%20and%20Mechanical%20Characterization%20of%20Nanoporous%20Alumina%20Templates.pdf
55,https://repositorium.sdum.uminho.pt/bitstream/1822/27367/1/Nano-ilmenite%20FeTiO3-%20Synthesis%20and%20characterization.pdf
56,
57,https://riunet.upv.es/bitstream/10251/62644/1/2014-9%20SOP%20Endorse%20of%20Renewable%20Energy%20Plants%20Still%20An%20Alternative%20Investment%20in%20Spain.pdf
58,https://riunet.upv.es/bitstream/10251/73131/2/Verma%2c%20N.%20et%20al.%20-%20Structural%20and%20optical%20properties%20of%20Ta2O5-Eu3%2b-%20Mg2%2b%20or%20Ca2%2b%20phosphor.pdf
59,
60,
61,
62,
63,
64,https://riunet.upv.es/bitstream/10251/77726/3/2015%20Proofs%20J%20Mat%20Sci%20Devender%20Rapid%20synthesis%20of%20BaAL2O4-Eu%20nanofosfors%20%281%29.pdf
65,
66,
67,
68,
69,http://downloads.hindawi.com/journals/jnm/2016/4396175.pdf
70,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.1859
71,
72,https://repositori.udl.cat/bitstream/10459.1/69903/3/cjfr_a2016v46n8p1000.pdf
73,
74,http://revistas.inia.es/index.php/fs/article/download/3793/1880
75,http://www.sisef.it/iforest/pdf/?id=ifor0931-008
76,https://www.mdpi.com/1999-4907/6/1/65/pdf?version=1419936492
77,https://www.beilstein-journals.org/bjnano/content/pdf/2190-4286-7-74.pdf
78,
79,
80,
81,https://www.mdpi.com/1660-3397/13/7/4255/pdf?version=1436942077
82,https://www.mdpi.com/1660-3397/12/12/5944/pdf?version=1424783499
83,https://www.nature.com/articles/ncomms6952.pdf
84,https://www.repository.utl.pt/bitstream/10400.5/14458/1/REP-S.Amancio.deep%20analysis.s11103-016-0553-9.pdf
85,
86,https://repositorium.sdum.uminho.pt/bitstream/1822/73001/1/2020.03.03.974626v1.full.pdf
87,https://www.frontiersin.org/articles/10.3389/fpls.2017.00098/pdf
88,https://www.frontiersin.org/articles/10.3389/fpls.2018.01029/pdf
89,
90,https://trepo.tuni.fi/bitstream/10024/118048/2/benchmarking_blocking_algorithms_2017.pdf
91,https://research.vu.nl/ws/files/1161504/p343-liu.pdf
92,https://e-archivo.uc3m.es/bitstream/10016/31990/1/random_INTERSPEECH_2015_ps.pdf
93,
94,http://www.cstr.inf.ed.ac.uk/downloads/publications/2013/Moses_Ibibio.pdf
95,https://www.pure.ed.ac.uk/ws/files/20047876/i14_1302.pdf
96,https://www.pure.ed.ac.uk/ws/files/19407557/Introduction_to_the_Special_Issue_on_Statistical_Parametric_Speech_Synthesis2_jianhua.pdf
97,
98,https://www.pure.ed.ac.uk/ws/files/24376355/kay2015knowledge.pdf
99,
100,http://loquens.revistas.csic.es/index.php/loquens/article/download/6/13
101,https://www.pure.ed.ac.uk/ws/files/20135664/master.pdf
102,http://www.cstr.ed.ac.uk/downloads/publications/2014/postfilter_IS14.pdf
103,
104,https://e-archivo.uc3m.es/bitstream/10016/21478/1/comparison_INTERSPEECH_2014.pdf
105,http://www.cstr.ed.ac.uk/downloads/publications/2015/dnnbmtl_ICASSP15.pdf
106,https://www.frontiersin.org/articles/10.3389/fnins.2017.00213/pdf
107,http://arxiv.org/pdf/2006.04142
108,
109,https://www.pure.ed.ac.uk/ws/files/8423783/Detecting_Acronyms_from_Capital_Letter_Sequences_in_Spanish.pdf
110,https://www.pure.ed.ac.uk/ws/files/14561813/Stan_Watts_et_al_2013_TUNDRA_a_multilingual_corpus_of_found_data_for_TTS_research_created_with_light_supervision.pdf
111,http://www.cstr.inf.ed.ac.uk/downloads/publications/2012/janskaeral_IS_2012.pdf
112,https://www.pure.ed.ac.uk/ws/files/15269013/LIGHTLY_SUPERVISED_GMM_VAD_TO_USE_AUDIOBOOK_FOR_SPEECH_SYNTHESISER.pdf
113,https://www.mdpi.com/1424-8220/13/8/10519/pdf?version=1403331957
114,https://www.pure.ed.ac.uk/ws/files/14560378/Raitio_Suni_2013_Comparing_Glottal_flow_excited_statistical_parametric_speech_synthesis_methods.pdf
115,https://www.pure.ed.ac.uk/ws/files/14561319/Stan_Bell_King_2012_A_Grapheme_Based_Method_for_Automatic_Alignment_of_Speech_and_Text_Data.pdf
116,https://oa.upm.es/20409/1/INVE_MEM_2012_134451.pdf
117,http://homepages.inf.ed.ac.uk/pbell1/lightly_supervised_discriminative_is2013.pdf
118,https://www.pure.ed.ac.uk/ws/files/14540033/Pohjalainen_Raitio_et_al_2013_Detection_of_shouted_speech_in_noise.pdf
119,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0120124&type=printable
120,http://arxiv.org/pdf/1103.6282
121,
122,
123,
124,https://www.biorxiv.org/content/biorxiv/early/2020/05/10/2020.05.08.084053.full.pdf
125,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0216030&type=printable
126,https://www.mitpressjournals.org/doi/pdf/10.1162/netn_a_00118
127,https://www.mdpi.com/1424-8220/21/11/3587/pdf?version=1621835206
128,https://www.nature.com/articles/s41598-020-60923-5.pdf
129,https://www.nature.com/articles/s41598-019-39520-8.pdf
130,https://www.mdpi.com/2079-7737/10/7/577/pdf?version=1624518390
131,https://www.mitpressjournals.org/doi/pdf/10.1162/netn_a_00086
132,https://www.mitpressjournals.org/doi/pdf/10.1162/netn_a_00086
133,https://www.frontiersin.org/articles/10.3389/fncir.2020.541728/pdf
134,https://www.biorxiv.org/content/biorxiv/early/2018/10/14/260950.full.pdf
135,http://arxiv.org/pdf/2107.07844
136,https://www.frontiersin.org/articles/10.3389/fncir.2020.00046/pdf
137,https://www.frontiersin.org/articles/10.3389/fninf.2019.00057/pdf
138,https://www.frontiersin.org/articles/10.3389/fninf.2019.00057/pdf
139,https://link.springer.com/content/pdf/10.3758/s13428-021-01579-5.pdf
140,https://link.springer.com/content/pdf/10.3758/s13428-021-01579-5.pdf
141,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0223743&type=printable
142,https://www.frontiersin.org/articles/10.3389/fnbot.2020.589532/pdf
143,https://www.frontiersin.org/articles/10.3389/fnbot.2017.00020/pdf
144,https://ieeexplore.ieee.org/ielx7/7274989/8928993/08451965.pdf
145,https://www.frontiersin.org/articles/10.3389/fnbot.2019.00081/pdf
